austiji02,1991,James Parker,R,48,3
autryal01,1976,Albert,R,3,1
avreaja01,1950,James Epherium,R,2,1
axelrdy01,2011,Dylan Davis Haines,R,19,1
axforjo01,2009,John B,R,171,3
ayalabo01,1992,Robert Joseph,R,541,9
ayalalu01,2003,Luis Ignacio,R,294,9
aybarma01,1997,Manuel Antonio,R,273,10
aydelja01,1884,Jacob Stuart,R,35,2
ayersbi01,1947,William Oscar,R,22,1
ayersdo01,1913,Yancey Wyatt,R,622,10
ayraubo01,1992,Robert Cunningham,R,42,3
babcobo01,1979,Robert Ernest,R,39,3
babicjo01,1934,John Charles,R,231,5
backebr01,2002,Brandon Allen,R,360,8
backmle01,1909,Lester John,R,76,2
bacsimi01,1975,Michael James,R,77,5
badenbu01,2008,Burke Heinrich,R,190,4
baderlo01,1912,Lore Verne,R,27,3
baeched01,1926,Edward Joseph,R,61,6
baekch01,2004,Cha Seung,R,184,5
baezda01,2001,Denis (Gonzalez),R,505,11
bagbyji01,1912,James Charles Jacob (Sr.),R,450,9
bagbyji02,1938,James Charles Jacob (Jr.),R,431,10
bahnsst01,1966,Stanley Raymond,R,1359,19
bahred01,1946,Edson Garfield,R,69,2
baichgr01,1914,Grover Cleveland,R,3,1
bailean01,2009,Andrew Scott,R,174,3
baileco01,1993,Phillip Cory,R,150,8
baileho02,2007,David Dewitt,R,338,5
bailero01,1995,Charles Roger,R,162,3
bailest01,1967,Steven John,R,47,2
bailesw01,1919,Abraham Lincoln,R,35,4
bailobo01,1980,Robert Michael,R,0,1
bainlo01,1945,Herbert Loren,R,1,1
bairdo01,1976,Charles Douglas,R,689,18
bajenje01,2004,Jeffrey Michael,R,11,3
bakelje01,1883,Edward Enoch,R,669,9
bakenda01,1964,David Lee,R,0,1
bakeral01,1938,Albert Jones,R,2,1
bakerer01,1905,Earnest Gould,R,1,1
bakerki01,1890,Kirtley,R,115,5
bakerne01,1927,Neal Vernon,R,3,1
bakersc02,2005,Timothy Scott,R,770,7
bakerst01,1978,Steven Byrne,R,131,5
bakerto01,1935,Thomas Calvin,R,58,5
balasmi01,1938,Mitchell Francis,R,0,1
baldsja01,1961,Jack Edward,R,555,9
baldwda01,1966,David George,R,164,6
baldwha01,1924,Howard Edward,R,5,2
baldwja01,1995,James (Jr.),R,844,14
baldwki01,1885,Clarence Geoghan,R,1,1
baldwma01,1887,Marcus Elmore,R,1354,8
baldwof01,1908,Orson F.,R,5,1
baldwri01,1975,Rickey Alan,R,86,3
balesco01,2008,Collin T.,R,132,4
balfogr01,2001,,R,370,9
balleja01,1982,Jay Scot,R,117,6
ballima01,1971,Mark Alan,R,25,1
ballowi01,1925,Noble Winfred,R,109,4
balsato01,1962,Anthony Fred,R,27,1
bambege01,1951,George Irvin,R,3,3
bandosa01,1979,Salvatore Leonard,R,0,1
baneydi01,1969,Richard Lee,R,38,3
bankhda01,1947,Daniel Robert,R,111,3
bankhsc01,1986,Michael Scott,R,614,10
banksbi01,1895,William John,R,10,2
banksjo01,2007,Joshua Charles,R,55,4
bankswi01,1991,Willie Anthony,R,428,12
bannibr01,2006,Brian P.,R,384,5
bannoji01,1893,James Henry,R,2,3
bantaja01,1947,Jackie Kay,R,116,4
baptitr01,1998,,R,11,1
barbebr02,1995,Brian Scott,R,59,4
barbefr01,1907,Frank Frederick,R,1,2
barbest02,1970,Steven Lee,R,18,2
barcelo01,2000,,R,42,3
barclcu01,1957,Curtis Cordell,R,73,3
bardda01,2009,Daniel Paul,R,213,3
barera01,1972,Raymond Douglas,R,145,5
barfocl01,1922,Clyde Raymond,R,49,3
bargagr01,1983,Greg Robert,R,23,3
bargecy01,1906,Eros Bolivar,R,297,7
barkele01,1976,Leonard Harold (III),R,975,12
barkeri01,1999,,R,3,1
barklje01,1984,Jeffrey Carver,R,34,2
barlomi01,1975,Michael Roswell,R,96,7
barnefr02,1957,Frank,R,30,3
barneje01,1915,Jesse Lawrence,R,653,14
barnere02,1943,Rex Edward,R,336,6
barnero01,1876,Charles Roscoe,R,0,1
barnevi01,1919,Virgil Jennings,R,275,10
barnhed01,1924,Edgar Vernon,R,0,1
barnhle01,1928,Leslie Earl,R,2,2
barnige01,1939,George Bernard,R,28,3
barnoed01,1965,Edward Anthony,R,8,2
barojsa01,1982,Salome (Romero),R,177,6
baronda01,2007,Daniel Edward,R,18,1
barrbo01,1883,Robert McClelland,R,588,6
barrbo02,1935,Robert Alexander,R,0,1
barrebi02,1921,William Joseph,R,2,1
barredi01,1933,Tracy Souter,R,271,6
barrefr01,1939,Francis Joseph,R,90,5
barrere01,1937,Charles Henry,R,333,12
barreti01,1988,Timothy Wayne,R,5,1
barrifr01,1974,Francisco Javier (Jimenez),R,323,7
barrima01,1997,Manuel Antonio,R,4,3
barrji01,1971,James Leland,R,741,12
barryha01,1912,Hardin,R,3,1
barryke01,2006,Kevin Thomas,R,23,2
barryto01,1904,Thomas Arthur,R,1,1
barthbo01,1944,Robert Edward,R,4,1
barthji01,2008,James Richard,R,6,1
barthjo01,1904,John Francis,R,5,1
bartlbi01,1903,William Jackson,R,24,3
baskeji01,1911,James Blaine,R,59,3
bassan01,2011,Anthony E.,R,24,1
bassbr01,2008,Brian Michael,R,104,4
bassdi01,1939,Richard William,R,1,1
bassno01,1961,Norman Delaney (Jr.),R,111,3
bastich01,1884,Charles J.,R,2,1
batchri01,1993,Richard Anthony,R,33,4
batesdi01,1969,Charles Richard,R,3,1
batismi01,1992,Miguel Jerez (Decartes),R,1214,19
battijo01,1877,Joseph V.,R,1,2
battoch01,1976,Christopher Sean,R,4,1
bauerlo01,1918,Louis Walter,R,0,1
bauerri01,2001,,R,185,7
bauerru01,1936,Russell Lee,R,300,8
baumgge01,1912,George Washington,R,283,5
