apodabo01,1973,Robert John,R,197,5,184
apontlu01,1980,Luis Eduardo (Yuripe),R,113,5,110
appieke01,1989,Robert Kevin,R,1994,18,414
appleed01,1915,Edward Samuel,R,64,2,48
applefr01,1904,Frederick Romaine,R,12,1,3
applepe01,1927,Peter William,R,420,17,341
aquingr01,2004,Gregori Emilio,R,143,6,145
aquinlu01,1986,Luis Antonio (Colon),R,318,10,222
ardizru01,1947,Rinaldo Joseph,R,0,1,1
arellfr01,1908,Frank Julian,R,148,3,74
ariasal02,2007,Alberto A.,R,55,4,63
arlinst01,1969,Stephen Ralph,R,463,7,141
armasto02,1999,Antonio Jose,R,680,10,185
armbror01,1934,Orville Martin,R,3,1,3
armstho01,1911,Howard Elmer,R,0,1,1
armstja01,1988,Jack William,R,510,7,152
armstmi01,1980,Michael Dennis,R,221,8,197
arnolja01,1999,,R,42,3,50
arnolsc01,1988,Scott Gentry,R,8,1,6
arnolto01,1986,Tony Dale,R,25,2,38
arnsbbr01,1986,Bradley James,R,100,6,94
arntzor01,1943,Orie Edgar,R,66,1,32
arochre01,1993,Rene (Magaly),R,190,4,124
arredjo01,2008,Jose Juan,R,150,3,148
arrieja01,2010,Jacob Joseph,R,145,2,40
arrojro01,1998,Luis Rolando (Avila),R,512,6,158
arroybr01,2000,,R,1226,12,327
arroyfe01,1975,Fernando,R,172,9,121
arundha01,1875,Harry,R,51,3,16
ascanjo01,2007,Jose Eleazar,R,41,5,43
asencmi01,2002,Miguel (DePaula),R,92,3,42
ashbyan01,1991,Andrew Jason,R,1173,16,309
ashke01,1925,Kenneth Lowther,R,47,4,55
astacez01,2005,Ezequiel F.,R,72,2,28
astacpe01,1992,Pedro Julio (Pura),R,1664,18,392
atchisc01,2004,Scott Barhan,R,128,5,113
atherke01,1983,Keith Rowe,R,349,8,342
atilalu01,2010,Luis A.,R,40,1,16
atkinal01,1884,Albert Wright,R,435,5,106
atkinbi01,1976,William Cecil Glenn,R,99,4,98
atkinja01,1950,James Curtis,R,2,2,4
atkinmi01,2009,Mitchell Shane,R,17,3,10
aucoide01,1996,Derek Alfred,R,1,1,2
augenbr01,2009,Bryan,R,12,2,12
augusdo01,1988,Donald Glenn,R,181,4,88
aukerel01,1933,Elden Le Roy,R,594,10,333
