anderbr04,2009,Brett F.,L,286,3
anderbu01,1982,Karl Adam,R,76,2
andercr01,1961,Norman Craig,R,94,4
anderda01,1889,David S.,L,56,3
anderfr01,1909,John Frederick,R,514,7
anderja01,2003,Jason Roger,R,19,4
anderji02,1999,,L,241,7
anderjo02,1958,John Charles,R,19,4
anderla01,1974,Lawrence Dennis,R,23,3
anderla02,1975,Larry Eugene,R,758,19
anderma01,1998,Matthew Jason,R,224,7
andermi01,1979,Michael Allen,R,2,1
andermi02,1993,Michael James,R,4,1
anderre01,1937,Arnold Revola,R,40,3
anderri01,1979,Richard Lee,R,7,2
anderri02,1986,Richard Arlen,R,42,3
andersc01,1987,Scott Richard,R,28,3
anderva01,1889,Varney Samuel,R,41,4
anderwa01,1917,Walter Carl,L,20,2
anderwi01,1910,Wingo Charlie,L,11,1
andrast01,2006,Stephen Michael,R,5,1
andrecl01,2000,,L,12,1
andreel01,1925,Elbert De Vore,R,0,1
andrehu01,1947,Herbert Carl,R,2,2
andreiv01,1931,Ivy Paul,R,257,10
andrejo01,1955,John Edward,R,19,1
andrejo02,1973,John Richard,L,5,1
andrena01,1937,Nathan Hardy,R,216,9
andrufr01,1884,Frederick Hotham,R,2,1
andujjo01,1976,Joaquin,R,1032,14
andujlu01,1995,Luis (Sanchez),R,49,5
angelno01,1972,Norman Stanley,L,19,2
ankieri01,1999,,L,269,4
ansonca01,1883,Adrian Constantine,R,1,2
antonjo02,1948,John August,L,1162,13
apodabo01,1973,Robert John,R,197,5
apontlu01,1980,Luis Eduardo (Yuripe),R,113,5
appieke01,1989,Robert Kevin,R,1994,18
appleed01,1915,Edward Samuel,R,64,2
applefr01,1904,Frederick Romaine,R,12,1
applepe01,1927,Peter William,R,420,17
aquingr01,2004,Gregori Emilio,R,143,6
aquinlu01,1986,Luis Antonio (Colon),R,318,10
archefr01,1936,Frederick Marvin,L,11,2
archeji02,1961,James William,L,122,2
ardizru01,1947,Rinaldo Joseph,R,0,1
arellfr01,1908,Frank Julian,R,148,3
ariasal02,2007,Alberto A.,R,55,4
ariasru01,1959,Rodolfo (Martinez),L,28,1
arlicdo01,1965,Donald Louis,L,1,2
arlinst01,1969,Stephen Ralph,R,463,7
armasto02,1999,Antonio Jose,R,680,10
armbror01,1934,Orville Martin,R,3,1
armstho01,1911,Howard Elmer,R,0,1
armstja01,1988,Jack William,R,510,7
armstmi01,1980,Michael Dennis,R,221,8
arnolja01,1999,,R,42,3
arnolsc01,1988,Scott Gentry,R,8,1
arnolto01,1986,Tony Dale,R,25,2
arnsbbr01,1986,Bradley James,R,100,6
arntzor01,1943,Orie Edgar,R,66,1
arochre01,1993,Rene (Magaly),R,190,4
arredjo01,2008,Jose Juan,R,150,3
arrieja01,2010,Jacob Joseph,R,145,2
arrigge01,1961,Gerald William,L,433,11
arrojro01,1998,Luis Rolando (Avila),R,512,6
arroybr01,2000,,R,1226,12
arroyfe01,1975,Fernando,R,172,9
arroylu01,1955,Luis Enrique,L,336,8
arroyru01,1971,Rudolph,L,5,1
arundha01,1875,Harry,R,51,3
ascanjo01,2007,Jose Eleazar,R,41,5
asencmi01,2002,Miguel (DePaula),R,92,3
ashbyan01,1991,Andrew Jason,R,1173,16
ashke01,1925,Kenneth Lowther,R,47,4
assenpa01,1986,Paul Andre,L,807,16
astacez01,2005,Ezequiel F.,R,72,2
astacpe01,1992,Pedro Julio (Pura),R,1664,18
atchisc01,2004,Scott Barhan,R,128,5
atchlju01,2001,,L,8,1
atherke01,1983,Keith Rowe,R,349,8
atilalu01,2010,Luis A.,R,40,1
atkinal01,1884,Albert Wright,R,435,5
atkinbi01,1976,William Cecil Glenn,R,99,4
atkinja01,1950,James Curtis,R,2,2
atkinmi01,2009,Mitchell Shane,R,17,3
atkinto01,1909,Francis Montgomery,L,33,2
aucoide01,1996,Derek Alfred,R,1,1
augenbr01,2009,Bryan,R,12,2
augusdo01,1988,Donald Glenn,R,181,4
augusje01,1975,Gerald Lee,L,348,10
aukerel01,1933,Elden Le Roy,R,594,10
ausanjo01,1994,Joseph John,R,51,2
austde01,1965,Dennis Kay,R,14,2
austije01,2001,,R,55,3
austiji02,1991,James Parker,R,48,3
austiri01,1970,Rick Gerald,L,106,4
autryal01,1976,Albert,R,3,1
averyst01,1990,Steven Thomas,L,980,11
avreaja01,1950,James Epherium,R,2,1
axelrdy01,2011,Dylan Davis Haines,R,19,1
axforjo01,2009,John B,R,171,3
ayalabo01,1992,Robert Joseph,R,541,9
ayalalu01,2003,Luis Ignacio,R,294,9
aybarma01,1997,Manuel Antonio,R,273,10
aydelja01,1884,Jacob Stuart,R,35,2
ayersbi01,1947,William Oscar,R,22,1
ayersdo01,1913,Yancey Wyatt,R,622,10
ayraubo01,1992,Robert Cunningham,R,42,3
babcobo01,1979,Robert Ernest,R,39,3
babicjo01,1934,John Charles,R,231,5
backebr01,2002,Brandon Allen,R,360,8
backmle01,1909,Lester John,R,76,2
baconed01,1917,Edgar Suter,,0,1
bacsimi01,1975,Michael James,R,77,5
bacsimi02,2001,,L,97,5
baczefr01,1953,Frederic John,L,104,4
badenbu01,2008,Burke Heinrich,R,190,4
baderlo01,1912,Lore Verne,R,27,3
baeched01,1926,Edward Joseph,R,61,6
baekch01,2004,Cha Seung,R,184,5
baezbe01,2001,,L,14,1
baezda01,2001,Denis (Gonzalez),R,505,11
bagbyji01,1912,James Charles Jacob (Sr.),R,450,9
bagbyji02,1938,James Charles Jacob (Jr.),R,431,10
bahnsst01,1966,Stanley Raymond,R,1359,19
bahred01,1946,Edson Garfield,R,69,2
baichgr01,1914,Grover Cleveland,R,3,1
bailean01,2009,Andrew Scott,R,174,3
bailebi01,1907,William F.,L,570,12
baileco01,1993,Phillip Cory,R,150,8
baileha01,1899,Harvey Francis,L,35,2
baileho01,1981,Howard L,L,41,3
baileho02,2007,David Dewitt,R,338,5
baileji01,1959,James Hopkins,L,7,1
baileki01,1895,Linwood C.,L,0,1
bailero01,1995,Charles Roger,R,162,3
bailesc01,1986,Scott Alan,L,351,9
bailest01,1967,Steven John,R,47,2
bailesw01,1919,Abraham Lincoln,R,35,4
bailobo01,1980,Robert Michael,R,0,1
bainlo01,1945,Herbert Loren,R,1,1
bairdbo01,1962,Robert Allen,L,10,2
bairdo01,1976,Charles Douglas,R,689,18
bajenje01,2004,Jeffrey Michael,R,11,3
bakelje01,1883,Edward Enoch,R,669,9
bakenda01,1964,David Lee,R,0,1
bakeral01,1938,Albert Jones,R,2,1
bakerbo01,1901,Charles,L,1,2
bakerer01,1905,Earnest Gould,R,1,1
bakerje01,1911,Jesse Ormond,L,51,1
bakerki01,1890,Kirtley,R,115,5
bakerne01,1927,Neal Vernon,R,3,1
bakerno01,1883,Norman Leslie,,94,3
bakersc01,1995,Scott,L,3,1
bakersc02,2005,Timothy Scott,R,770,7
bakerst01,1978,Steven Byrne,R,131,5
bakerto01,1935,Thomas Calvin,R,58,5
bakerto02,1963,Thomas Henry,L,14,1
balasmi01,1938,Mitchell Francis,R,0,1
baldsja01,1961,Jack Edward,R,555,9
baldwda01,1966,David George,R,164,6
baldwha01,1924,Howard Edward,R,5,2
baldwja01,1995,James (Jr.),R,844,14
baldwki01,1885,Clarence Geoghan,R,1,1
baldwla01,1884,Charles B.,L,582,7
baldwma01,1887,Marcus Elmore,R,1354,8
baldwof01,1908,Orson F.,R,5,1
